Year,Brain Computer Interface (BCI),Neuromorphic Computing,GPU Industry,AI Accelerated Chips,Quantum Computing,Compute for Advanced Robotics,Neuroprosthetics,General Stem Cell,Adult Stem Cells,Induced Pluripotent Stem Cells,Embryonic Stem Cells,Perinatal Stem Cells,Optogenetic Therapeutics,Optogenetic Diagnostics
2021,1500.0,50.0,25000.0,10000.0,500.0,2000.0,7000.0,14000.0,8500.0,1200.0,500.0,1000.0,30.0,90.0
2022,1755.0,72.5,35000.0,14500.0,725.0,2400.0,7980.000000000001,15960.000000000002,9520.0,1440.0,555.0,1140.0000000000002,48.0,127.8
2023,2053.3499999999995,105.125,48999.99999999999,21025.0,1051.25,2880.0,9097.200000000003,18194.400000000005,10662.400000000001,1728.0,616.0500000000001,1299.6000000000004,76.80000000000001,181.476
2024,2402.4194999999995,152.43125,68599.99999999999,30486.25,1524.3125,3455.9999999999995,10370.808000000003,20741.616000000005,11941.888000000003,2073.6,683.8155000000002,1481.5440000000003,122.88000000000002,257.69591999999994
2025,2810.8308149999993,221.02531249999998,96039.99999999999,44205.0625,2210.2531249999997,4147.2,11822.721120000006,23645.44224000001,13374.914560000005,2488.3199999999997,759.0352050000002,1688.9601600000008,196.60800000000003,365.92820639999997
2026,3288.6720535499985,320.48670312499996,134455.99999999994,64097.34062499999,3204.8670312499994,4976.6399999999985,13477.902076800008,26955.804153600016,14979.904307200006,2985.9839999999995,842.5290775500004,1925.414582400001,314.5728000000001,519.6180530879999
2027,3847.746302653499,464.7057195312499,188238.39999999994,92941.14390624997,4647.057195312499,5971.967999999999,15364.80836755201,30729.61673510402,16777.492824064007,3583.180799999999,935.2072760805005,2194.9726239360016,503.3164800000002,737.8576353849597
2028,4501.863174104594,673.8232933203124,263533.7599999999,134764.65866406247,6738.232933203124,7166.361599999998,17515.881539009293,35031.76307801859,18790.79196295169,4299.816959999999,1038.0800764493556,2502.268791287042,805.3063680000002,1047.757842246643
2029,5267.179913702374,977.0437753144529,368947.2639999998,195408.7550628906,9770.43775314453,8599.633919999997,19968.104954470597,39936.20990894119,21045.686998505895,5159.780351999998,1152.2688848587848,2852.586422067228,1288.4901888000006,1487.8161359902329
2030,6162.600499031777,1416.7134742059566,516526.16959999973,283342.69484119135,14167.134742059567,10319.560703999998,22763.639648096483,45527.279296192966,23571.169438326608,6191.736422399998,1279.0184621932513,3251.9485211566407,2061.584302080001,2112.6989131061305
2031,7210.242583867178,2054.234537598637,723136.6374399995,410846.9075197274,20542.345375986373,12383.472844799995,25950.54919882999,51901.09839765998,26399.7097709258,7430.0837068799965,1419.710493034509,3707.2213141185703,3298.534883328002,3000.0324566107047
